,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,moving_average,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,time,trading_days,transactions,treasury_period_return
2016-08-12 20:00:00+00:00,0.8165737178294492,0.28927949999999614,,0.0,0.0,,0.0,66982.79499999995,-54090.0,-54090.0,0.0,4.195366481821838,0.0,0.0,0,-0.4879594255518441,9.592338331294812,107.48250000000002,-4.195366481821838,[],2016-08-12 20:00:00+00:00,2016-08,2016-08-12 13:31:00+00:00,-125.0,12892.794999999955,"[{'cost_basis': 98.41852749926521, 'last_sale_price': 108.18, 'amount': -500, 'sid': Equity(8 [AAPL])}]",108.18,-0.009602240625236402,0.6374620326567936,-54090.0,-54090.0,1,1.057735992685205,66982.79499999995,-53965.0,-53965.0,317,317,[],0.0
2016-08-15 20:00:00+00:00,0.8166222125550987,0.2242794999999962,,0.0,0.0,,0.0,66982.79499999995,-54740.0,-54740.0,0.0,4.471201224883713,0.0,0.0,0,-0.4879594255518441,9.592338331294812,108.01500000000001,-4.471201224883713,[],2016-08-15 20:00:00+00:00,2016-08,2016-08-15 13:31:00+00:00,-650.0,12242.794999999955,"[{'cost_basis': 98.41852749926521, 'last_sale_price': 109.48, 'amount': -500, 'sid': Equity(8 [AAPL])}]",109.48,-0.05041575546652233,0.5864960869399198,-54740.0,-54740.0,1,0.9707192159373836,66982.79499999995,-54090.0,-54090.0,318,318,[],0.0
2016-08-16 20:00:00+00:00,0.8153395139130727,0.2292794999999963,,0.0,0.0,,0.0,66982.79499999995,-54690.0,-54690.0,0.0,4.448947533900972,0.0,0.0,0,-0.4879594255518441,9.592338331294812,108.45375,-4.448947533900972,[],2016-08-16 20:00:00+00:00,2016-08,2016-08-16 13:31:00+00:00,50.0,12292.794999999955,"[{'cost_basis': 98.41852749926521, 'last_sale_price': 109.38, 'amount': -500, 'sid': Equity(8 [AAPL])}]",109.38,0.0040840347322650405,0.5895342812439952,-54690.0,-54690.0,1,0.9757457201827694,66982.79499999995,-54740.0,-54740.0,319,319,[],0.0
2016-08-17 20:00:00+00:00,0.8140707859429142,0.2372794999999963,,0.0,0.0,,0.0,66982.79499999995,-54610.0,-54610.0,0.0,4.413715736824234,0.0,0.0,0,-0.4879594255518441,9.592338331294812,108.67125,-4.413715736824234,[],2016-08-17 20:00:00+00:00,2016-08,2016-08-17 13:31:00+00:00,80.0,12372.794999999955,"[{'cost_basis': 98.41852749926521, 'last_sale_price': 109.22, 'amount': -500, 'sid': Equity(8 [AAPL])}]",109.22,0.006507877175207177,0.5949033675393508,-54610.0,-54610.0,1,0.9846397071512689,66982.79499999995,-54690.0,-54690.0,320,320,[],0.0
2016-08-18 20:00:00+00:00,0.8128045447746922,0.2442794999999962,,0.0,0.0,,0.0,66982.79499999995,-54540.0,-54540.0,0.0,4.383259549000059,0.0,0.0,0,-0.4879594255518441,9.592338331294812,108.76,-4.383259549000059,[],2016-08-18 20:00:00+00:00,2016-08,2016-08-18 13:31:00+00:00,70.0,12442.794999999955,"[{'cost_basis': 98.41852749926521, 'last_sale_price': 109.08, 'amount': -500, 'sid': Equity(8 [AAPL])}]",109.08,0.005657573733339971,0.5994383428534906,-54540.0,-54540.0,1,0.9921490426042672,66982.79499999995,-54610.0,-54610.0,321,321,[],0.0
2016-08-19 20:00:00+00:00,0.8116213248937829,0.2302794999999962,,0.0,0.0,,0.0,66982.79499999995,-54680.0,-54680.0,0.0,4.444518501690079,0.0,0.0,0,-0.4879594255518441,9.592338331294812,108.82875000000001,-4.444518501690079,[],2016-08-19 20:00:00+00:00,2016-08,2016-08-19 13:31:00+00:00,-140.0,12302.794999999955,"[{'cost_basis': 98.41852749926521, 'last_sale_price': 109.36, 'amount': -500, 'sid': Equity(8 [AAPL])}]",109.36,-0.011251491324899332,0.587598618878277,-54680.0,-54680.0,1,0.9724481211970256,66982.79499999995,-54540.0,-54540.0,322,322,[],0.0
2016-08-22 20:00:00+00:00,0.8108731438742351,0.2727794999999962,,0.0,0.0,,0.0,66982.79499999995,-54255.0,-54255.0,0.0,4.262717933467674,0.0,0.0,0,-0.4879594255518441,9.592338331294812,108.89250000000001,-4.262717933467674,"[{'reason': None, 'filled': 0, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': -100, 'status': 0, 'stop': None, 'id': 'c46dde8243f144e2bdcdbcab8c67a636', 'limit': None, 'created': Timestamp('2016-08-22 20:00:00+0000', tz='UTC'), 'commission': 0, 'stop_reached': False, 'dt': Timestamp('2016-08-22 20:00:00+0000', tz='UTC')}]",2016-08-22 20:00:00+00:00,2016-08,2016-08-22 13:31:00+00:00,425.0,12727.794999999955,"[{'cost_basis': 98.41852749926521, 'last_sale_price': 108.51, 'amount': -500, 'sid': Equity(8 [AAPL])}]",108.51,0.034544995669683276,0.619557563326663,-54255.0,-54255.0,1,1.0259829203528166,66982.79499999995,-54680.0,-54680.0,323,323,[],0.0
2016-08-23 20:00:00+00:00,0.8097366338488196,0.2552252499999945,,0.0,0.0,,10879.457499999997,77862.25249999994,-65310.00000000001,-65310.00000000001,0.0,5.203050209514216,0.0,0.0,0,-0.4879594255518441,9.592338331294812,109.00750000000001,-5.203050209514216,"[{'reason': None, 'filled': -100, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': -100, 'status': 1, 'stop': None, 'id': 'c46dde8243f144e2bdcdbcab8c67a636', 'limit': None, 'created': Timestamp('2016-08-22 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'stop_reached': False, 'dt': Timestamp('2016-08-23 20:00:00+0000', tz='UTC')}]",2016-08-23 20:00:00+00:00,2016-08,2016-08-23 13:31:00+00:00,-175.54250000001775,12552.252499999937,"[{'cost_basis': 100.14786874938767, 'last_sale_price': 108.85000000000001, 'amount': -600, 'sid': Equity(8 [AAPL])}]",108.85000000000001,-0.013792059033007509,0.6052645367959403,-65310.00000000001,-65310.00000000001,1,1.0021470365224805,66982.79499999995,-54255.0,-54255.0,324,324,"[{'order_id': 'c46dde8243f144e2bdcdbcab8c67a636', 'price': 108.79557500000001, 'sid': Equity(8 [AAPL]), 'commission': None, 'amount': -100, 'dt': Timestamp('2016-08-23 20:00:00+0000', tz='UTC')}]",0.0
2016-08-24 20:00:00+00:00,0.8091512232235044,0.3044252499999953,,0.0,0.0,,0.0,77862.25249999994,-64818.0,-64818.0,0.0,4.969085043393654,0.0,0.0,0,-0.4879594255518441,9.592338331294812,108.98875,-4.969085043393654,[],2016-08-24 20:00:00+00:00,2016-08,2016-08-24 13:31:00+00:00,492.0000000000073,13044.252499999944,"[{'cost_basis': 100.14786874938767, 'last_sale_price': 108.03, 'amount': -600, 'sid': Equity(8 [AAPL])}]",108.03,0.03919615224438888,0.6413991997662445,-64818.0,-64818.0,1,1.0628444619512225,77862.25249999994,-65310.00000000001,-65310.00000000001,325,325,[],0.0
2016-08-25 20:00:00+00:00,0.8080799094525066,0.3320252499999947,,0.0,0.0,,0.0,77862.25249999994,-64542.00000000001,-64542.00000000001,0.0,4.845403643812332,0.0,0.0,0,-0.4879594255518441,9.592338331294812,108.75,-4.845403643812332,[],2016-08-25 20:00:00+00:00,2016-08,2016-08-25 13:31:00+00:00,275.9999999999927,13320.252499999937,"[{'cost_basis': 100.14786874938767, 'last_sale_price': 107.57000000000001, 'amount': -600, 'sid': Equity(8 [AAPL])}]",107.57000000000001,0.021158744052217182,0.6605198188289366,-64542.00000000001,-64542.00000000001,1,1.0947599152311533,77862.25249999994,-64818.0,-64818.0,326,326,[],0.0
